Year,State,Offense,SubCat,TrueCount,Unfounded,Cleared,JuvCleared
2017,Arizona,Human Trafficking,Commercial Sex Acts,2,0,0,0
2017,Arizona,Human Trafficking,Commercial Sex Acts,1,0,1,0
2017,Massachusetts,Human Trafficking,Involuntary Servitude,3,0,0,0
2016,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Texas,Human Trafficking,Involuntary Servitude,2,0,0,0
2016,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Texas,Human Trafficking,Involuntary Servitude,2,0,0,0
2017,Texas,Human Trafficking,Involuntary Servitude,3,0,1,0
2020,Nevada,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Nevada,Human Trafficking,Commercial Sex Acts,4,0,2,1
2020,Nevada,Human Trafficking,Commercial Sex Acts,3,0,3,0
2020,Nevada,Human Trafficking,Commercial Sex Acts,2,0,3,0
2020,Nevada,Human Trafficking,Commercial Sex Acts,6,0,0,0
2020,Connecticut,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Michigan,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,Michigan,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Michigan,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Virginia,Human Trafficking,Commercial Sex Acts,1,0,1,0
2016,Virginia,Human Trafficking,Commercial Sex Acts,5,0,5,0
2020,Virginia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,South Dakota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,South Dakota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,4,0,0,0
2018,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Texas,Human Trafficking,Commercial Sex Acts,3,0,0,0
2019,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Texas,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Texas,Human Trafficking,Commercial Sex Acts,2,0,1,0
2019,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Texas,Human Trafficking,Commercial Sex Acts,2,0,1,0
2020,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Oregon,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Oregon,Human Trafficking,Involuntary Servitude,1,0,0,0
2016,Oregon,Human Trafficking,Commercial Sex Acts,3,0,0,0
2016,Oregon,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Oregon,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Oregon,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Oregon,Human Trafficking,Commercial Sex Acts,3,0,0,0
2017,Oregon,Human Trafficking,Commercial Sex Acts,2,0,1,0
2017,Oregon,Human Trafficking,Commercial Sex Acts,2,0,1,0
2017,Oregon,Human Trafficking,Commercial Sex Acts,5,0,1,0
2020,North Carolina,Human Trafficking,Involuntary Servitude,1,0,1,0
2018,Kentucky,Human Trafficking,Commercial Sex Acts,1,0,1,0
2018,Kentucky,Human Trafficking,Involuntary Servitude,1,0,0,0
2018,Kentucky,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,3,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Texas,Human Trafficking,Commercial Sex Acts,6,0,0,0
2019,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Alaska,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Minnesota,Human Trafficking,Commercial Sex Acts,3,0,1,0
2019,Minnesota,Human Trafficking,Commercial Sex Acts,4,0,1,0
2019,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,1,0
2019,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,6,0
2019,Minnesota,Human Trafficking,Commercial Sex Acts,3,0,2,0
2017,Kentucky,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Missouri,Human Trafficking,Commercial Sex Acts,2,0,0,0
2016,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Michigan,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Virginia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Delaware,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Colorado,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,Colorado,Human Trafficking,Commercial Sex Acts,3,0,1,0
2019,Colorado,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Colorado,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Colorado,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Colorado,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Delaware,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Massachusetts,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Massachusetts,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Georgia,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,3,0,0,0
2020,Georgia,Human Trafficking,Involuntary Servitude,3,0,0,0
2019,Georgia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Georgia,Human Trafficking,Involuntary Servitude,1,0,1,0
2019,Washington,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Georgia,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,Georgia,Human Trafficking,Commercial Sex Acts,2,0,1,1
2019,Georgia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,North Carolina,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Georgia,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,South Carolina,Human Trafficking,Commercial Sex Acts,2,0,2,0
2019,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Colorado,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Georgia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Georgia,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Maryland,Human Trafficking,Commercial Sex Acts,2,0,1,0
2020,North Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,New Hampshire,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,New Hampshire,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,2,0
2018,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,0,0
2017,Washington,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,1,0
2014,Wisconsin,Human Trafficking,Commercial Sex Acts,2,0,1,0
2014,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Texas,Human Trafficking,Involuntary Servitude,11,0,0,0
2014,Alaska,Human Trafficking,Commercial Sex Acts,1,0,1,0
2014,Alaska,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Arizona,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Tennessee,Human Trafficking,Commercial Sex Acts,3,0,0,0
2014,Tennessee,Human Trafficking,Involuntary Servitude,1,0,0,0
2014,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,1,0
2014,Texas,Human Trafficking,Commercial Sex Acts,7,0,2,0
2014,Texas,Human Trafficking,Commercial Sex Acts,3,0,1,0
2014,Illinois,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Illinois,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Illinois,Human Trafficking,Involuntary Servitude,1,0,0,0
2014,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2014,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2014,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Minnesota,Human Trafficking,Involuntary Servitude,1,0,0,0
2014,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,0,0
2014,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,0,0
2014,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2014,Minnesota,Human Trafficking,Commercial Sex Acts,4,0,1,0
2014,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Texas,Human Trafficking,Involuntary Servitude,4,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2018,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Louisiana,Human Trafficking,Commercial Sex Acts,9,0,8,0
2018,Florida,Human Trafficking,Commercial Sex Acts,1,3,0,0
2017,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2018,Florida,Human Trafficking,Commercial Sex Acts,1,0,1,0
2018,Florida,Human Trafficking,Involuntary Servitude,2,0,0,0
2018,Florida,Human Trafficking,Commercial Sex Acts,18,10,1,0
2018,Florida,Human Trafficking,Commercial Sex Acts,2,0,1,0
2019,West Virginia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Florida,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Missouri,Human Trafficking,Commercial Sex Acts,3,0,2,0
2018,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,5,0,0,0
2017,Delaware,Human Trafficking,Commercial Sex Acts,3,0,3,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,2,0
2017,Illinois,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,Massachusetts,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,1,0
2017,Texas,Human Trafficking,Commercial Sex Acts,9,0,6,0
2017,Delaware,Human Trafficking,Commercial Sex Acts,1,0,1,0
2017,Minnesota,Human Trafficking,Commercial Sex Acts,10,0,10,0
2017,Minnesota,Human Trafficking,Commercial Sex Acts,5,0,5,0
2017,Minnesota,Human Trafficking,Commercial Sex Acts,9,0,3,0
2018,Florida,Human Trafficking,Commercial Sex Acts,6,0,6,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Florida,Human Trafficking,Commercial Sex Acts,3,0,3,0
2017,Texas,Human Trafficking,Commercial Sex Acts,3,0,1,0
2017,Texas,Human Trafficking,Commercial Sex Acts,32,0,25,0
2017,Texas,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Massachusetts,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,Massachusetts,Human Trafficking,Involuntary Servitude,1,0,0,0
2018,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Oklahoma,Human Trafficking,Commercial Sex Acts,3,0,1,0
2018,Massachusetts,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Massachusetts,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,Texas,Human Trafficking,Commercial Sex Acts,3,0,0,0
2015,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,2,0,0,0
2015,Texas,Human Trafficking,Involuntary Servitude,11,0,4,0
2014,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2014,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,1,0
2014,Tennessee,Human Trafficking,Commercial Sex Acts,3,0,3,0
2014,Texas,Human Trafficking,Involuntary Servitude,1,0,1,0
2014,Illinois,Human Trafficking,Commercial Sex Acts,2,0,0,0
2014,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,1,0
2014,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,1,0
2014,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,1,0
2014,Tennessee,Human Trafficking,Commercial Sex Acts,3,0,3,0
2014,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Louisiana,Human Trafficking,Commercial Sex Acts,1,0,1,0
2014,Illinois,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Texas,Human Trafficking,Involuntary Servitude,1,0,1,0
2014,Texas,Human Trafficking,Involuntary Servitude,1,0,1,0
2014,Illinois,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Michigan,Human Trafficking,Involuntary Servitude,1,0,0,0
2014,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,1,0
2014,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,1,0
2014,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Missouri,Human Trafficking,Commercial Sex Acts,1,0,1,1
2014,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Texas,Human Trafficking,Involuntary Servitude,1,0,1,1
2014,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2014,Texas,Human Trafficking,Commercial Sex Acts,2,0,2,1
2014,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Texas,Human Trafficking,Involuntary Servitude,7,0,0,0
2014,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Texas,Human Trafficking,Involuntary Servitude,5,0,0,0
2014,Wisconsin,Human Trafficking,Involuntary Servitude,1,0,1,0
2019,Alaska,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Nevada,Human Trafficking,Commercial Sex Acts,8,0,1,0
2014,Wisconsin,Human Trafficking,Commercial Sex Acts,3,0,1,0
2014,Arizona,Human Trafficking,Commercial Sex Acts,1,0,1,0
2014,Colorado,Human Trafficking,Involuntary Servitude,2,0,0,0
2019,Texas,Human Trafficking,Commercial Sex Acts,2,0,1,0
2019,Texas,Human Trafficking,Commercial Sex Acts,2,0,1,0
2019,Texas,Human Trafficking,Commercial Sex Acts,3,0,1,0
2019,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Michigan,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Vermont,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Massachusetts,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Massachusetts,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Massachusetts,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,Virginia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Virginia,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Virginia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Virginia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Florida,Human Trafficking,Commercial Sex Acts,4,2,0,0
2020,Florida,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Florida,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Florida,Human Trafficking,Commercial Sex Acts,1,10,1,0
2020,Maryland,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Ohio,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Texas,Human Trafficking,Commercial Sex Acts,3,0,1,0
2017,Oregon,Human Trafficking,Commercial Sex Acts,2,0,0,0
2017,Oregon,Human Trafficking,Commercial Sex Acts,2,0,0,0
2017,Oregon,Human Trafficking,Involuntary Servitude,1,0,0,0
2017,Oregon,Human Trafficking,Commercial Sex Acts,2,0,0,0
2017,Oregon,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Oregon,Human Trafficking,Commercial Sex Acts,3,0,1,0
2018,Oregon,Human Trafficking,Commercial Sex Acts,4,0,0,0
2018,Oregon,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Hawaii,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Hawaii,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Hawaii,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Massachusetts,Human Trafficking,Involuntary Servitude,1,0,1,0
2020,Illinois,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Illinois,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Washington,Human Trafficking,Commercial Sex Acts,2,0,2,0
2018,Washington,Human Trafficking,Commercial Sex Acts,1,0,1,0
2017,Utah,Human Trafficking,Commercial Sex Acts,12,0,0,0
2018,Utah,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,Utah,Human Trafficking,Commercial Sex Acts,4,0,4,0
2018,Utah,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,Utah,Human Trafficking,Commercial Sex Acts,3,0,0,0
2018,Utah,Human Trafficking,Commercial Sex Acts,2,0,1,0
2019,Utah,Human Trafficking,Commercial Sex Acts,4,0,4,0
2019,Utah,Human Trafficking,Commercial Sex Acts,4,0,2,0
2019,Utah,Human Trafficking,Commercial Sex Acts,7,0,8,0
2019,Utah,Human Trafficking,Commercial Sex Acts,3,0,2,0
2019,Utah,Human Trafficking,Commercial Sex Acts,8,0,6,0
2020,Utah,Human Trafficking,Commercial Sex Acts,6,0,3,0
2020,North Carolina,Human Trafficking,Involuntary Servitude,1,0,1,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2018,Ohio,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Minnesota,Human Trafficking,Involuntary Servitude,2,0,0,0
2019,Minnesota,Human Trafficking,Involuntary Servitude,2,0,0,0
2019,Minnesota,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Hawaii,Human Trafficking,Commercial Sex Acts,2,0,1,0
2020,Ohio,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Wisconsin,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Wisconsin,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Utah,Human Trafficking,Commercial Sex Acts,2,0,2,0
2020,Illinois,Human Trafficking,Commercial Sex Acts,6,0,0,0
2020,Wisconsin,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Wisconsin,Human Trafficking,Involuntary Servitude,2,0,1,0
2018,New Mexico,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,New Mexico,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,Texas,Human Trafficking,Involuntary Servitude,1,0,1,0
2019,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Texas,Human Trafficking,Involuntary Servitude,1,0,1,0
2020,Wisconsin,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Washington,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Washington,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Kentucky,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Kentucky,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Indiana,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,North Carolina,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,North Carolina,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,South Dakota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,2,0
2019,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Rhode Island,Human Trafficking,Commercial Sex Acts,2,0,0,0
2017,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Arizona,Human Trafficking,Commercial Sex Acts,4,1,0,0
2018,Hawaii,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Maryland,Human Trafficking,Commercial Sex Acts,1,0,1,0
2017,Wisconsin,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Texas,Human Trafficking,Commercial Sex Acts,8,0,4,0
2014,Arkansas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Massachusetts,Human Trafficking,Commercial Sex Acts,2,0,2,0
2019,Texas,Human Trafficking,Commercial Sex Acts,4,0,0,0
2017,Kentucky,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,1,0
2018,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2018,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,2,0
2020,Washington,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2017,South Carolina,Human Trafficking,Involuntary Servitude,1,0,0,0
2017,Texas,Human Trafficking,Commercial Sex Acts,3,0,1,0
2017,Texas,Human Trafficking,Commercial Sex Acts,4,0,2,0
2017,Texas,Human Trafficking,Commercial Sex Acts,8,0,3,0
2017,Texas,Human Trafficking,Commercial Sex Acts,2,2,0,0
2018,Connecticut,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Tennessee,Human Trafficking,Commercial Sex Acts,3,0,1,0
2017,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Utah,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Utah,Human Trafficking,Involuntary Servitude,1,0,0,0
2017,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,1,0
2017,Texas,Human Trafficking,Commercial Sex Acts,4,0,4,0
2017,Texas,Human Trafficking,Involuntary Servitude,2,0,0,0
2018,Washington,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,Georgia,Human Trafficking,Commercial Sex Acts,3,0,0,0
2015,South Carolina,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Michigan,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Texas,Human Trafficking,Involuntary Servitude,10,0,4,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
